date,city,temperature,humidity,pressure,wind_speed,rainfall,weather_condition
2023-01-01,Jaipur,38.2,59,1049,10.8,47.1,Rainy
2023-01-02,Kolkata,32.2,22,1024,5.4,183.4,Sunny
2023-01-03,Ahmedabad,42.8,50,1021,21.6,143.0,Foggy
2023-01-04,Hyderabad,33.8,72,1046,22.3,31.8,Rainy
2023-01-05,Pune,22.5,60,1038,3.7,189.4,Stormy
2023-01-06,Nagpur,34.2,84,993,3.0,106.8,Rainy
2023-01-07,Hyderabad,39.4,93,1043,7.7,112.6,Stormy
2023-01-08,Jaipur,33.7,80,994,9.5,178.7,Sunny
2023-01-09,Delhi,26.2,39,1031,4.7,136.5,Rainy
2023-01-10,Delhi,35.6,78,1016,0.1,179.8,Stormy
2023-01-11,Mumbai,44.6,54,983,15.2,93.4,Rainy
2023-01-12,Kolkata,24.7,29,1028,11.4,122.3,Sunny
2023-01-13,Mumbai,39.3,51,1043,0.6,94.2,Sunny
2023-01-14,Pune,21.1,50,995,9.9,112.8,Rainy
2023-01-15,Delhi,17.9,31,1046,10.1,50.7,Cloudy
2023-01-16,Mumbai,43.0,91,1014,9.9,94.7,Stormy
2023-01-17,Ahmedabad,21.5,95,1009,21.9,158.7,Sunny
2023-01-18,Hyderabad,20.3,85,1043,1.4,1.0,Cloudy
2023-01-19,Bangalore,35.7,30,1045,17.6,179.8,Stormy
2023-01-20,Delhi,24.8,54,1044,16.0,162.5,Stormy
2023-01-21,Jaipur,18.9,22,1034,7.6,129.9,Sunny
2023-01-22,Ahmedabad,17.4,46,1018,19.5,2.7,Stormy
2023-01-23,Nagpur,39.1,35,1025,7.3,144.4,Foggy
2023-01-24,Pune,28.0,71,1036,13.0,151.9,Stormy
2023-01-25,Chennai,22.5,96,997,11.1,137.6,Foggy
2023-01-26,Ahmedabad,39.5,38,987,1.9,127.0,Stormy
2023-01-27,Hyderabad,40.5,40,981,7.5,55.6,Sunny
2023-01-28,Nagpur,34.4,22,1031,22.9,89.7,Rainy
2023-01-29,Kolkata,37.8,99,1022,1.4,31.6,Sunny
2023-01-30,Mumbai,28.9,73,991,6.5,128.3,Rainy
2023-01-31,Kolkata,29.8,53,1015,0.4,93.5,Cloudy
2023-02-01,Pune,20.9,88,999,19.8,82.6,Sunny
2023-02-02,Bangalore,22.6,93,1014,11.4,36.3,Rainy
2023-02-03,Delhi,40.0,49,994,19.3,146.4,Sunny
2023-02-04,Bangalore,19.6,86,1042,8.5,51.1,Rainy
2023-02-05,Delhi,26.4,22,1035,2.4,75.9,Rainy
2023-02-06,Pune,22.3,82,1046,23.4,66.3,Rainy
2023-02-07,Pune,32.4,66,995,11.9,175.1,Stormy
2023-02-08,Nagpur,16.5,61,1013,4.4,80.7,Rainy
2023-02-09,Bangalore,44.0,91,1001,10.9,192.1,Rainy
2023-02-10,Mumbai,28.5,45,1010,15.5,42.1,Rainy
2023-02-11,Ahmedabad,17.0,100,1038,11.0,188.9,Rainy
2023-02-12,Jaipur,16.9,26,989,23.9,159.1,Foggy
2023-02-13,Hyderabad,29.3,97,1037,16.1,162.0,Rainy
2023-02-14,Delhi,35.0,89,1013,16.9,188.2,Cloudy
